dni,nombre,apellido,sexo,natalicio,estado,id_os
510313452,Anabelle,Foxhall,F,5/2/1996,n/c,Italiano
432846802,Francene,Astlatt,F,3/15/2022,n/c,IOSFA
351441424,Brynn,Lawrey,F,2/10/2020,n/c,Aleman
838610362,Jase,Petracci,M,3/19/2010,fallecido,Medicus
265970888,Chilton,Bance,M,5/29/1985,internado,Espanyol
626184534,Teri,Howling,F,7/25/1967,internado,Italiano
254036301,Shayne,Morsom,M,8/9/2017,internado,IOSFA
448378825,Monty,Hendrik,M,7/8/1966,fallecido,OSDE
004030912,Cookie,Arghent,F,6/26/1959,n/c,Espanyol
059797422,Fletcher,Hatliffe,M,1/2/2016,internado,Aleman
574950484,Glennie,Jeannin,F,1/4/1978,internado,Italiano
492681393,Rici,O'Murtagh,F,2/26/2004,fallecido,IOSFA
630103536,Bethany,Mersey,F,1/31/2014,fallecido,Medicus
577342446,Barry,Scotsbrook,M,3/27/2009,n/c,Medicus
319018046,Shep,Ringrose,M,5/18/1990,n/c,Espanyol
165840259,Johny,Woolacott,M,7/1/1993,n/c,OSDE
393930679,Carey,Bour,M,3/1/2011,internado,Aleman
432697437,Dame,Skellern,M,5/25/1966,fallecido,Italiano
757504371,Faber,Rainsden,M,10/29/2002,internado,IOSFA
206122129,Chiquita,Leng,F,10/2/1991,n/c,OSDE
596556162,Crista,Aronin,F,8/17/2009,fallecido,Aleman
924640556,Bartholemy,Overington,M,9/13/1958,fallecido,Espanyol
965409289,Lidia,Huffy,F,11/11/2009,n/c,Medicus
202125655,Foster,Jerrard,M,2/6/1960,n/c,OSDE
330636035,Laurence,Heardman,M,7/3/1986,fallecido,Espanyol
308020346,Lotti,Kurth,F,2/12/1993,fallecido,Medicus
570948422,Melina,Blackburne,F,10/9/2012,internado,IOSFA
593362315,Benyamin,Sara,M,5/29/1993,fallecido,OSDE
529247758,Jackie,Spraberry,F,10/6/1995,n/c,Aleman
317762532,Hayden,Lewzey,M,1/25/1954,internado,Medicus
095438176,Callida,O'Crevy,F,7/23/1967,internado,Espanyol
277843307,Paton,Geibel,M,8/27/1986,internado,Italiano
750743326,Adora,Rother,F,2/17/1975,n/c,IOSFA
827474605,Brion,Benes,M,1/24/1961,internado,Espanyol
148138582,Bentlee,Troyes,M,11/15/1969,internado,Italiano
966298573,Guinevere,Jeans,F,5/3/1983,internado,IOSFA
409802369,Eveleen,Billitteri,F,8/28/1957,fallecido,Aleman
270588566,Tynan,Andover,M,4/20/1985,internado,Espanyol
825271811,Tait,Ballendine,M,6/25/1997,fallecido,OSDE
885443565,Alfons,Masser,M,11/26/1982,n/c,Medicus
408568833,Hettie,Sinncock,F,6/19/1969,internado,Italiano
216053067,Nikolaus,Lukasen,M,12/23/1976,n/c,Aleman
337695325,Alvie,Giddy,M,7/24/1950,fallecido,IOSFA
315637374,Eugenio,Audenis,M,11/19/2010,fallecido,IOSFA
522092928,Robin,Reggio,M,5/20/1956,fallecido,Medicus
469686091,Norina,Hartley,F,7/10/1979,internado,Aleman
409843306,Rosalinda,Pendergast,F,11/21/2010,fallecido,Espanyol
000549634,Vanessa,Shah,F,5/16/1953,internado,Aleman
988177590,Baudoin,Robion,M,8/2/1962,fallecido,Espanyol
535897406,Taddeo,Bilsborrow,M,4/6/1962,internado,IOSFA
924130698,Natasha,Truin,F,10/6/2018,n/c,Medicus
303103313,Marina,Chittleburgh,F,10/13/1966,fallecido,Italiano
928423315,Mahalia,Culleford,F,9/3/2012,fallecido,OSDE
390779894,Lisetta,Oldrey,F,1/16/1978,internado,Italiano
553083161,Aleksandr,Tindall,M,10/5/2017,fallecido,Espanyol
021455433,Trina,Faughnan,F,9/13/1973,n/c,Medicus
967016962,Morrie,Cockren,M,8/16/1966,fallecido,IOSFA
421577741,Ara,Robinette,F,2/5/2018,internado,IOSFA
765614244,Meade,Po,M,8/21/1959,internado,Espanyol
758761602,Charleen,Sherbrook,F,5/9/2010,n/c,Medicus
722265366,Parke,Marzele,M,10/18/2018,n/c,OSDE
763268829,Edan,MacCaig,M,12/28/2020,fallecido,Aleman
442436810,Agustin,Collick,M,10/21/1990,n/c,Italiano
960609579,Dyanna,Passo,F,12/21/1965,internado,Espanyol
038650159,Vanna,Cadlock,F,8/3/1980,fallecido,IOSFA
000221562,Bette,Edowes,F,4/7/2021,n/c,OSDE
354814758,Dorelia,Feasby,F,5/30/2011,fallecido,Medicus
588861350,Thadeus,Gabel,M,6/3/2014,n/c,Espanyol
157141323,Aileen,Martinuzzi,F,2/5/2016,internado,Italiano
400239963,Karol,Dunbleton,F,10/1/1963,internado,Aleman
512564115,Suzanne,Jasper,F,1/18/1967,internado,Medicus
588773401,Calhoun,Joan,M,8/19/1995,n/c,OSDE
940564297,Kilian,Smees,M,7/3/1995,fallecido,IOSFA
161456845,Maryann,Maillard,F,3/2/1977,n/c,IOSFA
308018541,Noble,Hancorn,M,12/25/1985,fallecido,Medicus
149026929,Carlyle,Garner,M,10/5/1951,internado,Italiano
364843090,Jorgan,McFayden,M,5/9/2021,fallecido,Aleman
